sound,target,confused,count,sound_file,target_file,talker,voice_base,condition
t,theta,0,9,T08_t3.wav,T08_theta3.wav,T08,us2,confusable
t,theta,0,9,T09_t3.wav,T09_theta3.wav,T09,us2,confusable
t,theta,0,9,T10_t3.wav,T10_theta3.wav,T10,us3,confusable
t,theta,0,9,T11_t3.wav,T11_theta3.wav,T11,us3,confusable
t,theta,0,9,T12_t3.wav,T12_theta3.wav,T12,us3,confusable
t,g,1,1,T01_t3.wav,T01_g3.wav,T01,us1,distinct
t,g,1,1,T02_t3.wav,T02_g3.wav,T02,us1,distinct
t,g,1,1,T03_t3.wav,T03_g3.wav,T03,us1,distinct
t,g,1,1,T04_t3.wav,T04_g3.wav,T04,us1,distinct
t,g,1,1,T05_t3.wav,T05_g3.wav,T05,us1,distinct
t,g,1,1,T06_t3.wav,T06_g3.wav,T06,us1,distinct
t,g,1,1,T07_t3.wav,T07_g3.wav,T07,us2,distinct
t,g,1,1,T08_t3.wav,T08_g3.wav,T08,us2,distinct
t,g,1,1,T09_t3.wav,T09_g3.wav,T09,us2,distinct
t,g,1,1,T10_t3.wav,T10_g3.wav,T10,us3,distinct
t,g,1,1,T11_t3.wav,T11_g3.wav,T11,us3,distinct
t,g,1,1,T12_t3.wav,T12_g3.wav,T12,us3,distinct
t,eth,1,1,T01_t3.wav,T01_eth3.wav,T01,us1,distinct
t,eth,1,1,T02_t3.wav,T02_eth3.wav,T02,us1,distinct
t,eth,1,1,T03_t3.wav,T03_eth3.wav,T03,us1,distinct
t,eth,1,1,T04_t3.wav,T04_eth3.wav,T04,us1,distinct
t,eth,1,1,T05_t3.wav,T05_eth3.wav,T05,us1,distinct
t,eth,1,1,T06_t3.wav,T06_eth3.wav,T06,us1,distinct
t,eth,1,1,T07_t3.wav,T07_eth3.wav,T07,us2,distinct
t,eth,1,1,T08_t3.wav,T08_eth3.wav,T08,us2,distinct
t,eth,1,1,T09_t3.wav,T09_eth3.wav,T09,us2,distinct
t,eth,1,1,T10_t3.wav,T10_eth3.wav,T10,us3,distinct
t,eth,1,1,T11_t3.wav,T11_eth3.wav,T11,us3,distinct
t,eth,1,1,T12_t3.wav,T12_eth3.wav,T12,us3,distinct
t,z,1,1,T01_t3.wav,T01_z3.wav,T01,us1,distinct
t,z,1,1,T02_t3.wav,T02_z3.wav,T02,us1,distinct
t,z,1,1,T03_t3.wav,T03_z3.wav,T03,us1,distinct
t,z,1,1,T04_t3.wav,T04_z3.wav,T04,us1,distinct
t,z,1,1,T05_t3.wav,T05_z3.wav,T05,us1,distinct
t,z,1,1,T06_t3.wav,T06_z3.wav,T06,us1,distinct
t,z,1,1,T07_t3.wav,T07_z3.wav,T07,us2,distinct
t,z,1,1,T08_t3.wav,T08_z3.wav,T08,us2,distinct
t,z,1,1,T09_t3.wav,T09_z3.wav,T09,us2,distinct
t,z,1,1,T10_t3.wav,T10_z3.wav,T10,us3,distinct
t,z,1,1,T11_t3.wav,T11_z3.wav,T11,us3,distinct
t,z,1,1,T12_t3.wav,T12_z3.wav,T12,us3,distinct
k,p,0,190,T01_k3.wav,T01_p3.wav,T01,us1,confusable
k,p,0,190,T02_k3.wav,T02_p3.wav,T02,us1,confusable
k,p,0,190,T03_k3.wav,T03_p3.wav,T03,us1,confusable
k,p,0,190,T04_k3.wav,T04_p3.wav,T04,us1,confusable
