trial,condition,Response,RT,chanel,Acc
T,13,3,0.7008473,nonTT,1
T,7,3,0.7317378,nonTT,1
T,15,3,0.7151474,nonTT,1
T,1,3,0.7357131,TT,0
T,10,3,1.583499,nonTT,1
T,0,3,0.7835778,TT,0
T,6,3,0.7352417,nonTT,1
T,2,3,1.2164389,nonTT,1
T,14,3,0.9688391,nonTT,1
T,1,4,0.9856681,TT,1
T,11,3,1.6651531,nonTT,1
T,13,3,1.2536648,nonTT,1
T,4,3,0.7660956,nonTT,1
T,15,3,1.3851911,nonTT,1
T,1,3,1.1998489,TT,0
T,3,3,1.6672971,nonTT,1
T,1,3,1.7999017,TT,0
T,6,3,0.9850205,nonTT,1
T,15,3,0.7668255,nonTT,1
T,5,3,0.8827881,nonTT,1
T,12,3,0.8018607,nonTT,1
T,9,3,1.0663103,nonTT,1
T,14,3,0.8506686,nonTT,1
T,4,3,0.7838981,nonTT,1
T,2,3,0.7162997,nonTT,1
T,14,3,0.966659,nonTT,1
T,6,3,0.7003886,nonTT,1
T,1,4,1.3336035,TT,1
T,1,4,1.3507539,TT,1
T,8,3,1.0984059,nonTT,1
T,12,3,1.1324123,nonTT,1
T,10,3,1.0341969,nonTT,1
T,13,3,0.6678717,nonTT,1
T,1,4,0.9510408,TT,1
T,0,3,1.2336527,TT,0
T,2,4,1.7990478,nonTT,0
T,8,3,0.7006046,nonTT,1
T,7,3,1.1013122,nonTT,1
T,17,3,0.8318864,nonTT,1
T,4,3,1.333903,nonTT,1
T,15,3,0.6683843,nonTT,1
T,11,3,0.5669724,nonTT,1
T,7,3,0.4180994,nonTT,1
T,4,3,0.8678185,nonTT,1
T,3,4,1.0153806,nonTT,0
T,13,3,0.6330497,nonTT,1
T,0,3,1.0674169,TT,0
T,0,3,0.8831471,TT,0
T,10,3,1.1503694,nonTT,1
T,1,4,1.1524827,TT,1
T,13,3,0.7993485,nonTT,1
T,1,3,1.150846,TT,0
T,8,3,1.4055889,nonTT,1
T,5,3,0.8999351,nonTT,1
T,9,3,0.8661708,nonTT,1
T,9,3,0.8167137,nonTT,1
T,7,3,1.1163394,nonTT,1
T,7,3,0.5318304,nonTT,1
T,13,3,0.7829154,nonTT,1
T,15,3,0.6154441,nonTT,1
T,4,3,0.8526575,nonTT,1
T,1,3,1.0180125,TT,0
T,3,3,0.9034395,nonTT,1
T,11,3,0.4830244,nonTT,1
T,1,3,1.4323367,TT,0
T,16,3,0.8376218,nonTT,1
T,1,3,0.6801875,TT,0
T,15,3,0.6503998,nonTT,1
T,7,3,0.7835399,nonTT,1
T,4,3,0.8683534,nonTT,1
T,12,3,0.7177797,nonTT,1
T,16,3,0.7499172,nonTT,1
T,3,3,0.8993762,nonTT,1
T,1,3,1.1655294,TT,0
T,14,3,0.7835058,nonTT,1
T,8,3,1.0694888,nonTT,1
T,1,4,1.332341,TT,1
T,1,4,1.00141,TT,1
T,7,3,0.5186209,nonTT,1
T,2,3,1.1829521,nonTT,1
T,14,3,0.8325935,nonTT,1
T,5,3,1.8483467,nonTT,1
T,12,3,0.8347921,nonTT,1
T,17,3,1.4591953,nonTT,1
T,7,3,0.5830844,nonTT,1
T,17,3,0.5481432,nonTT,1
T,3,3,0.732137,nonTT,1
T,11,3,0.716791,nonTT,1
T,1,3,1.183767,TT,0
T,0,3,1.7485843,TT,0
T,12,3,1.0327689,nonTT,1
T,5,3,1.4169212,nonTT,1
T,17,3,1.6326993,nonTT,1
T,11,3,0.6175126,nonTT,1
T,12,3,0.5680745,nonTT,1
T,0,3,0.6171843,TT,0
T,6,3,0.4173075,nonTT,1
T,1,4,1.4515295,TT,1
T,5,4,1.4832933,nonTT,0
T,16,3,0.9330088,nonTT,1
T,16,3,0.8324431,nonTT,1
T,3,3,1.2845124,nonTT,1
T,12,3,1.710448,nonTT,1
T,14,3,0.9658622,nonTT,1
T,3,3,1.6497897,nonTT,1
T,1,4,1.1336599,TT,1
T,4,3,0.9830484,nonTT,1
T,1,3,1.1001067,TT,0
T,11,3,0.8182922,nonTT,1
T,6,3,0.8339391,nonTT,1
T,10,3,0.8025503,nonTT,1
T,10,3,0.5682926,nonTT,1
T,9,3,0.9012057,nonTT,1
T,13,3,0.7811011,nonTT,1
T,4,3,1.0324084,nonTT,1
T,7,3,0.9167893,nonTT,1
T,15,3,0.6666541,nonTT,1
T,0,4,0.8013381,TT,1
T,1,3,0.9494883,TT,0
T,3,4,0.6832787,nonTT,0
T,2,3,0.6987743,nonTT,1
T,0,4,0.7991186,TT,1
T,4,4,0.8673246,nonTT,0
T,6,3,0.7161792,nonTT,1
T,15,3,0.8031653,nonTT,1
T,15,3,1.5006519,nonTT,1
T,1,3,0.9840711,TT,0
T,16,3,1.0491658,nonTT,1
T,12,3,0.8513516,nonTT,1
T,15,3,0.7499127,nonTT,1
T,13,3,0.6501201,nonTT,1
T,3,3,0.9000623,nonTT,1
T,5,3,0.8007944,nonTT,1
T,14,3,1.3989974,nonTT,1
T,14,3,1.8841707,nonTT,1
T,1,3,1.1857499,TT,0
T,7,3,1.2843955,nonTT,1
T,11,3,1.8651096,nonTT,1
T,8,3,1.2012287,nonTT,1
T,5,3,0.7002924,nonTT,1
T,11,3,0.6837406,nonTT,1
T,1,4,1.9401647,TT,1
T,6,4,0.7996267,nonTT,0
T,12,3,0.6662604,nonTT,1
T,3,4,1.4024711,nonTT,0
T,0,3,0.7011368,TT,0
T,7,3,0.7168863,nonTT,1
T,3,3,0.5675012,nonTT,1
T,1,3,0.5639085,TT,0
