trial,condition,TargetA,TargetC,Response,RT,Acc,thisRepN,block
11,5,stimuli/T10_athetaa.wav,#6C8BE6,3,1.0510093,1,8,t
5,6,stimuli/T07_ada.wav,#B95068,3,0.4710801,1,0,t
5,12,stimuli/T07_ada.wav,#E05AAF,3,0.664843,1,1,t
5,5,stimuli/T10_asha.wav,#007680,4,1.5822623,0,2,t
5,0,stimuli/T07_ada.wav,#9C4F91,3,0.732682,0,3,t
5,16,stimuli/T07_aetha.wav,#E05AAF,3,0.8849133,1,4,t
5,0,stimuli/T07_ada.wav,#9C4F91,3,1.7685269,0,5,t
5,14,stimuli/T07_aetha.wav,#B95068,3,0.7489831,1,6,t
5,3,stimuli/T10_aetha.wav,#007680,3,1.2335887,1,7,t
5,17,stimuli/T10_asha.wav,#00AEAA,3,0.8517156,1,8,t
25,3,stimuli/T03_azha.wav,#744D9F,3,1.0675923,1,0,t
25,0,stimuli/T04_aetha.wav,#00865B,3,0.850373,0,1,t
25,12,stimuli/T04_aetha.wav,#61BA77,3,0.7834824,1,2,t
25,7,stimuli/T03_ana.wav,#002548,3,0.8206858,1,3,t
25,4,stimuli/T04_aza.wav,#00865B,3,1.8503494,1,4,t
25,11,stimuli/T03_azha.wav,#933F81,3,0.9826736,1,5,t
25,0,stimuli/T04_aetha.wav,#00865B,3,1.4324005,0,6,t
25,17,stimuli/T03_aza.wav,#933F81,3,1.5654975,1,7,t
25,10,stimuli/T04_athetaa.wav,#61BA77,4,1.0812972,0,8,t
12,1,stimuli/T02_ava.wav,#A8502C,4,0.9164281,1,0,t
12,15,stimuli/T02_aza.wav,#650F00,3,0.834103,1,1,t
12,11,stimuli/T02_ama.wav,#D8555C,3,0.8685674,1,2,t
12,3,stimuli/T02_ama.wav,#A8502C,3,0.8351404,1,3,t
12,0,stimuli/T11_asha.wav,#158757,4,0.933415,1,4,t
12,4,stimuli/T11_asa.wav,#158757,3,0.8500525,1,5,t
12,7,stimuli/T02_ava.wav,#650F00,3,0.8826361,1,6,t
12,14,stimuli/T11_asa.wav,#D2E196,3,0.8676933,1,7,t
12,12,stimuli/T11_asha.wav,#5FC281,3,0.8002455,1,8,t
2,8,stimuli/T02_ana.wav,#002F62,4,1.4857067,0,0,t
2,7,stimuli/T01_ava.wav,#6E4800,3,1.0184367,1,1,t
2,17,stimuli/T01_aza.wav,#6A2400,3,0.8014103,1,2,t
2,0,stimuli/T02_afa.wav,#0078DA,3,1.4994737,0,3,t
2,2,stimuli/T02_ana.wav,#0078DA,3,1.0002911,1,4,t
2,16,stimuli/T02_athetaa.wav,#006EF9,4,0.9829712,0,5,t
2,0,stimuli/T02_afa.wav,#0078DA,3,1.2688873,0,6,t
2,12,stimuli/T02_afa.wav,#006EF9,3,0.9167297,1,7,t
2,4,stimuli/T02_athetaa.wav,#0078DA,3,0.8781477,1,8,t
23,4,stimuli/T05_apa.wav,#6282CD,3,0.6002008,1,0,t
23,16,stimuli/T05_apa.wav,#AB82D7,3,0.8335856,1,1,t
23,1,stimuli/T11_apa.wav,#428225,3,1.0492385,0,2,t
23,0,stimuli/T05_afa.wav,#6282CD,3,0.8861105,0,3,t
23,7,stimuli/T11_apa.wav,#5C6B3B,3,0.8359725,1,4,t
23,13,stimuli/T11_apa.wav,#4B5600,3,0.7160722,1,5,t
23,15,stimuli/T11_ata.wav,#5C6B3B,3,0.7344389,1,6,t
23,11,stimuli/T11_ava.wav,#4B5600,3,0.8651875,1,7,t
23,3,stimuli/T11_ava.wav,#428225,3,0.9011867,1,8,t
16,3,stimuli/T08_asa.wav,#6D8D45,3,1.134653,1,0,t
16,1,stimuli/T08_aga.wav,#6D8D45,3,0.6993341,0,1,t
16,14,stimuli/T02_ava.wav,#BFA5A8,3,0.7673357,1,2,t
16,12,stimuli/T02_aba.wav,#8E6386,3,0.7348292,1,3,t
16,1,stimuli/T08_aga.wav,#6D8D45,4,1.4837863,1,4,t
16,7,stimuli/T08_aga.wav,#4A4800,3,0.7175584,1,5,t
16,17,stimuli/T08_azha.wav,#99B235,3,0.768417,1,6,t
16,16,stimuli/T02_ava.wav,#8E6386,3,1.1007188,1,7,t
16,5,stimuli/T08_azha.wav,#6D8D45,4,1.1695124,0,8,t
19,9,stimuli/T01_asa.wav,#204400,3,1.1521705,1,0,t
19,13,stimuli/T01_aga.wav,#72A54B,4,0.7840268,0,1,t
19,0,stimuli/T08_ava.wav,#865B21,3,0.966307,0,2,t
19,3,stimuli/T01_asa.wav,#9D9236,3,0.6523088,1,3,t
19,9,stimuli/T01_asa.wav,#204400,3,0.652331,1,4,t
19,8,stimuli/T08_ana.wav,#FF8F87,3,0.6827616,1,5,t
19,1,stimuli/T01_aga.wav,#9D9236,3,1.0168092,0,6,t
19,6,stimuli/T08_ava.wav,#FF8F87,3,0.7000483,1,7,t
19,5,stimuli/T01_ava.wav,#9D9236,3,1.2520771,1,8,t
9,17,stimuli/T09_aza.wav,#003C58,3,0.6010254,1,0,t
9,17,stimuli/T09_aza.wav,#003C58,3,0.6158187,1,1,t
